cd_adj,caserate,deathrate,pctnohi,pctsvc,pctsevere,pctpoc,pctrentburden,proratedami,evictionrate,litigations,rate,cd,change,newunits,foreclosures,scriedrie,rsunits,outagerate,units,PctNonBank
218,92.56872747786083,3.4236083080858433,0.05700538725796377,0.30726670643164194,0.024219340582659767,0.7637217806445059,0.48052648613658433,0.8638945518528895,0.2771955590353595,100,56.598963202175575,318,0.13350392536610853,5,282,212,2804,191.47481194438112,NA,0.5643802647412756
301,67.71616118797128,0.7707426105052217,0.031015575282675633,0.1022939034195715,0.03488985197854911,0.23995526216613783,0.3385911320929372,1.918103244251323,0.15414852210104435,10,1.093045498018855,101,NA,449,58,105,8997,NA,440,0.03192702394526796
302,67.71616118797128,0.7707426105052217,0.031015575282675633,0.1022939034195715,0.03488985197854911,0.23995526216613783,0.3385911320929372,1.918103244251323,0.15414852210104435,34,13.438504236050248,102,-0.018259946837641435,95,39,1098,10369,NA,NA,0.03192702394526796
303,87.21870673033374,2.6592647230094335,0.053892097921332864,0.2985497952942337,0.03579362434743974,0.5796096405150544,0.519406137962839,0.48446218504151745,0.1423450703314052,89,21.463134789983037,103,-0.4844953918778663,154,49,1955,17976,110.40413928121941,320,0.07210031347962383
304,79.35644972658596,1.5045674368619022,0.03434172037836674,0.09101861993428259,0.03457793283137186,0.3087094267439775,0.3602646603107246,1.463601066225246,0.31608559597939123,77,10.036389247564268,104,-0.3279100789975695,213,187,1075,31321,191.58496732026143,745,0.05325443786982249
305,79.35644972658596,1.5045674368619022,0.03434172037836674,0.09101861993428259,0.03457793283137186,0.3087094267439775,0.3602646603107246,1.463601066225246,0.31608559597939123,32,3.991473710607707,105,NA,972,231,403,10496,NA,NA,0.05325443786982249
306,60.25966694891335,1.283550394473341,0.03407437348423605,0.07687801002929348,0.02123849477177384,0.26054336552578766,0.3355672086007572,1.8540260905982886,0.14112334180073385,35,3.8256870465899495,106,-0.25070967741935485,96,39,1445,23297,69.10569105691057,NA,0.07517084282460136
307,62.29364650132633,1.8439825903319684,0.03132838574597317,0.06893190895713494,0.024251258945136495,0.23761979497111563,0.3696709975926653,1.6283229470460114,0.10301578716938371,89,11.363273389337849,107,0.003314787563977132,754,50,2053,27438,120.59601726779,973,0.05037513397642015
308,59.27231958019511,1.097893997404132,0.031236317927810446,0.09063686346380416,0.022782772280809653,0.2010015031769599,0.36582585783225274,1.576856856292559,0.1302586098615072,68,5.878958623264655,108,0.03154989186418483,134,86,1471,19356,151.5151515151515,272,0.060657118786857624
309,70.95666768385719,2.5328043942630454,0.08044110889875938,0.28391560649625164,0.03698791629826113,0.5400076785835272,0.4712673838887431,0.7583059288055323,0.183094293561184,107,83.36026594025579,109,0.17076124211424323,280,45,1466,16932,264.1726618705036,NA,0.11274509803921569
310,77.06721336772259,2.792290339410239,0.0661953016022968,0.28903649759622224,0.022217116193573475,0.7835072716738418,0.4663750214445016,0.6172981015375141,0.4041472859672714,177,72.44916321756344,110,-0.04745212051714564,143,50,1025,23308,228.47567317693284,743,0.07112970711297072
311,96.07685492074951,3.7574246053883766,0.0740734574273251,0.3169127630685675,0.036015248796147675,0.7255320676165524,0.5305601167670133,0.37636937341839044,0.31175138647327144,84,42.952007799422404,111,-0.2744731928514271,427,17,503,16213,167.56225425950197,839,0.07272727272727272
312,94.96701155634352,3.0010480583219064,0.09150834558344653,0.4169030374796905,0.046543177667623274,0.6544469269363437,0.5014620333035796,0.5810792759939227,0.3555087699858258,190,106.28178694158076,112,-0.1809188902489582,97,16,6565,46658,225.50750220653134,92,0.08394160583941605
401,109.30104903635034,3.0068309343742374,0.07045016961584304,0.25839361712831144,0.02513801261829653,0.37452504681788895,0.4315372864879878,0.89840266321133,0.2012686020980727,77,20.37788881948782,401,-0.008696914700544572,470,94,1482,26994,116.8898043254377,1104,0.18050541516245489
402,96.15157334909145,2.4966760230462404,0.0944026113728254,0.3203368112758558,0.04770232558139535,0.5266283496744035,0.451954780970325,0.897422957692585,0.17727877086718866,48,11.912996695104143,402,0.01418002466091232,1488,43,1201,22631,NA,NA,0.15841584158415842
403,123.07100788199723,4.409957065543496,0.17195271812276902,0.49558885465386915,0.07557064129211877,0.6173727000427899,0.5628711444220237,0.680878441703184,0.10486027368531432,51,29.772855265627932,403,0.060700250783762025,68,108,1290,12320,NA,NA,0.24436090225563908
404,147.54943371372116,4.832405034292178,0.16461426628185657,0.485354795374946,0.097465157609204,0.7807386239860579,0.5240523294775793,0.67445764034752,0.18613708280236538,64,30.82838168472562,404,0.05687055702055868,207,56,1687,16726,NA,NA,0.17616580310880828
405,106.40088332404271,2.229750010719952,0.09753998267820736,0.32644515678783076,0.018324943085259882,0.23188763977214502,0.48482779097387174,0.7795528183157049,0.12863942369538184,81,116.03252977054893,405,0.03481242413515632,12,80,537,8722,NA,NA,0.41304347826086957
